,Year,Copper,Iron,Zinc,Manganese,Lead
0,2018.0,0.019,0.0,0.0,0.0,0.0
1,2018.0,0.033,0.008,0.448,0.0,0.448
2,2018.0,0.013,0.006,0.015,0.0,0.015
3,2018.0,0.0,0.0,0.006,0.0,0.006
4,2018.0,0.006,0.024,0.0,0.0,0.0
5,2018.0,0.005,0.0,0.007,0.0,0.007
6,2018.0,0.02,0.027,0.0,0.0,0.0
7,2018.0,0.01,0.025,0.006,0.0,0.006
8,2018.0,0.0,0.0,0.01,0.007,0.01
9,2018.0,0.0,0.115,0.007,0.014,0.007
10,2018.0,0.0,0.0,0.0,0.0,0.0
11,2018.0,0.0,0.0,0.015,0.026,0.015
12,2018.0,0.0,0.029,0.0,0.024,0.0
13,2018.0,0.0,0.0,0.009,0.021,0.009
14,2018.0,0.009,0.02,0.0,0.024,0.0
15,2018.0,0.011,0.026,0.0,0.015,0.0
16,2018.0,0.009,0.015,0.021,0.011,0.021
17,2018.0,0.0,0.0,0.0,0.006,0.0
18,2018.0,0.018,0.197,0.031,0.004,0.031
19,2018.0,0.019,0.184,0.034,0.004,0.034
20,2018.0,0.007,0.006,0.007,0.0,0.007
21,2018.0,0.016,0.039,0.005,0.003,0.005
22,2018.0,0.043,0.064,0.006,0.004,0.006
23,2018.0,0.0,0.0,0.0,0.0,0.0
24,2018.0,0.01,0.016,0.0,0.0,0.0
25,2018.0,0.0,0.016,0.031,0.0,0.031
26,2018.0,0.014,0.0,0.006,0.0,0.006
27,2018.0,0.023,0.011,0.011,0.003,0.011
28,2018.0,0.007,0.0,0.009,0.0,0.009
29,2018.0,0.018,0.0,0.0,0.0,0.0
30,2018.0,0.022,0.0,0.006,0.0,0.006
31,2018.0,0.063,0.01,0.006,0.0,0.006
32,2018.0,0.005,0.0,0.009,0.0,0.009
33,2018.0,0.0,0.0,0.0,0.0,0.0
34,2018.0,0.011,0.016,0.0,0.0,0.0
35,2018.0,0.038,0.008,0.0,0.0,0.0
36,2018.0,0.012,0.049,0.0,0.0,0.0
37,2018.0,0.016,0.017,0.0,0.0,0.0
38,2018.0,0.0,0.006,0.007,0.0,0.007
39,2018.0,0.014,0.03,0.008,0.0,0.008
40,2018.0,0.009,0.015,0.0,0.0,0.0
41,2018.0,0.008,0.017,0.0,0.0,0.0
42,2018.0,0.016,0.016,0.0,0.0,0.0
43,2018.0,0.192,0.017,0.023,0.0,0.023
44,2018.0,0.014,0.021,0.0,0.0,0.0
45,2018.0,0.0,0.017,0.0,0.0,0.0
46,2018.0,0.022,0.016,0.007,0.0,0.007
47,2018.0,0.043,0.02,0.01,0.0,0.01
48,2018.0,0.015,0.015,0.008,0.0,0.008
49,2018.0,0.0,0.063,0.0,0.0,0.0
50,2018.0,0.014,0.008,0.042,0.0,0.042
51,2018.0,0.005,0.009,0.0,0.0,0.0
52,2018.0,0.0,0.009,0.0,0.0,0.0
53,2018.0,0.061,0.0,0.014,0.0,0.014
54,2018.0,0.007,0.009,0.0,0.0,0.0
55,2018.0,0.0,0.024,0.007,0.0,0.007
56,2018.0,0.007,0.043,0.0,0.0,0.0
57,2018.0,0.015,0.015,0.0,0.0,0.0
58,2018.0,0.01,0.023,0.0,0.0,0.0
59,2018.0,0.006,0.0,0.0,0.0,0.0
60,2018.0,0.066,0.0,0.011,0.0,0.011
61,2018.0,0.0,0.044,0.0,0.0,0.0
62,2018.0,0.009,0.04,0.014,0.0,0.014
63,2018.0,0.011,0.035,0.0,0.0,0.0
64,2018.0,0.0,0.024,0.0,0.0,0.0
65,2018.0,0.008,0.01,0.0,0.0,0.0
66,2018.0,0.009,0.0,0.0,0.0,0.0
67,2018.0,0.007,0.01,0.0,0.0,0.0
68,2018.0,0.0,0.017,0.0,0.0,0.0
69,2018.0,0.11,0.009,0.0,0.0,0.0
70,2018.0,0.013,0.01,0.0,0.0,0.0
71,2018.0,0.007,0.012,0.0,0.0,0.0
72,2018.0,0.019,0.011,0.029,0.0,0.029
73,2018.0,0.014,0.031,0.007,0.0,0.007
74,2018.0,0.0,0.021,0.0,0.0,0.0
75,2018.0,0.021,0.0,0.005,0.0,0.005
76,2018.0,0.006,0.0,0.0,0.0,0.0
77,2018.0,0.0,0.019,0.0,0.0,0.0
78,2018.0,0.006,0.035,0.0,0.0,0.0
79,2018.0,0.013,0.005,0.007,0.0,0.007
80,2018.0,0.013,0.005,0.008,0.0,0.008
81,2018.0,0.007,0.036,0.0,0.0,0.0
82,2018.0,0.018,0.033,0.0,0.004,0.0
83,2018.0,0.0,0.033,0.0,0.0,0.0
84,2018.0,0.008,0.03,0.0,0.0,0.0
85,2018.0,0.011,0.013,0.006,0.0,0.006
86,2018.0,0.014,0.006,0.006,0.0,0.006
87,2018.0,0.008,0.0,0.0,0.0,0.0
88,2018.0,0.014,0.056,0.0,0.0,0.0
89,2018.0,0.163,0.006,0.024,0.0,0.024
90,2018.0,0.02,0.016,0.0,0.0,0.0
91,2018.0,0.0,0.008,0.0,0.0,0.0
92,2018.0,0.0,0.012,0.0,0.0,0.0
93,2018.0,0.011,0.073,0.0,0.002,0.0
94,2018.0,0.006,0.029,0.011,0.0,0.011
95,2018.0,0.016,0.383,0.015,0.004,0.015
96,2018.0,0.042,0.039,0.012,0.0,0.012
97,2018.0,0.007,0.031,0.005,0.0,0.005
98,2018.0,0.0,0.018,0.01,0.0,0.01
99,2018.0,0.006,0.037,0.0,0.0,0.0
100,2018.0,0.017,0.031,0.005,0.0,0.005
101,2018.0,0.005,0.028,0.0,0.0,0.0
102,2018.0,0.0,0.322,0.044,0.013,0.044
103,2018.0,0.014,0.395,0.0,0.012,0.0
104,2018.0,0.016,0.0,0.008,0.0,0.008
105,2018.0,0.0,0.0,0.0,0.0,0.0
106,2018.0,0.032,0.0,0.0,0.0,0.0
107,2018.0,0.039,0.026,0.0,0.0,0.0
108,2018.0,0.0,0.044,0.0,0.0,0.0
109,2018.0,0.011,0.01,0.0,0.0,0.0
110,2018.0,0.033,0.052,0.012,0.0,0.012
111,2018.0,0.012,0.007,0.0,0.0,0.0
112,2018.0,0.0,0.03,0.018,0.0,0.018
113,2018.0,0.007,0.007,0.0,0.0,0.0
114,2018.0,0.019,0.031,0.0,0.0,0.0
115,2018.0,0.007,0.037,0.0,0.0,0.0
116,2018.0,0.0,0.035,0.0,0.0,0.0
117,2018.0,0.01,0.046,0.007,0.0,0.007
118,2018.0,0.157,0.057,0.016,0.0,0.016
119,2018.0,0.0,0.03,0.0,0.0,0.0
120,2018.0,0.009,0.044,0.0,0.0,0.0
121,2018.0,0.0,0.026,0.0,0.0,0.0
122,2018.0,0.011,0.032,0.03,0.0,0.03
123,2018.0,0.0,0.059,0.0,0.0,0.0
124,2018.0,0.005,0.015,0.0,0.0,0.0
125,2018.0,0.0,0.041,0.008,0.0,0.008
126,2018.0,0.016,0.026,0.009,0.0,0.009
127,2018.0,0.006,0.0,0.0,0.0,0.0
128,2018.0,0.008,0.0,0.006,0.0,0.006
129,2018.0,0.018,0.025,0.0,0.0,0.0
130,2018.0,0.014,0.023,0.0,0.0,0.0
131,2018.0,0.012,0.023,0.172,0.002,0.172
132,2018.0,0.028,0.009,0.008,0.0,0.008
133,2018.0,0.007,0.046,0.013,0.0,0.013
134,2018.0,0.0,0.0,0.0,0.0,0.0
135,2018.0,0.0,0.033,0.0,0.0,0.0
136,2018.0,0.025,0.009,0.0,0.0,0.0
137,2018.0,0.0,0.008,0.0,0.0,0.0
138,2018.0,0.008,0.019,0.0,0.0,0.0
139,2018.0,0.012,0.042,0.005,0.0,0.005
140,2018.0,0.01,0.06,0.0,0.002,0.0
141,2018.0,0.0,0.011,0.0,0.0,0.0
142,2018.0,0.0,0.0,0.0,0.0,0.0
143,2018.0,0.0,0.013,0.0,0.0,0.0
144,2018.0,0.005,0.0,0.0,0.0,0.0
145,2018.0,0.012,0.023,0.0,0.0,0.0
146,2018.0,0.014,0.0,0.005,0.0,0.005
147,2018.0,0.0,0.0,0.0,0.0,0.0
148,2018.0,0.012,0.0,0.012,0.0,0.012
149,2018.0,0.036,0.013,0.006,0.0,0.006
150,2018.0,0.019,0.014,0.0,0.0,0.0
151,2018.0,0.0,0.009,0.021,0.0,0.021
152,2018.0,0.01,0.007,0.0,0.0,0.0
153,2018.0,0.006,0.006,0.0,0.0,0.0
154,2018.0,0.011,0.017,0.0,0.0,0.0
155,2018.0,0.008,0.02,0.0,0.0,0.0
156,2018.0,0.015,0.078,0.007,0.0,0.007
157,2018.0,0.008,0.045,0.0,0.0,0.0
158,2018.0,0.011,0.108,0.022,0.0,0.022
159,2018.0,0.0,0.0,0.051,0.0,0.051
160,2018.0,0.01,0.021,0.02,0.0,0.02
161,2018.0,0.009,0.02,0.007,0.0,0.007
162,2018.0,0.022,0.016,0.0,0.0,0.0
163,2018.0,0.03,0.067,0.0,0.0,0.0
164,2018.0,0.021,0.227,0.0,0.0,0.0
165,2018.0,0.0,0.024,0.0,0.0,0.0
166,2018.0,0.0,0.017,0.0,0.0,0.0
167,2018.0,0.013,0.032,0.0,0.0,0.0
168,2018.0,0.01,0.041,0.005,0.0,0.005
169,2018.0,0.012,0.006,0.023,0.0,0.023
170,2018.0,0.0,0.0,0.0,0.0,0.0
171,2018.0,0.0,0.015,0.0,0.0,0.0
172,2018.0,0.005,0.023,0.0,0.0,0.0
173,2018.0,0.061,0.015,0.0,0.0,0.0
174,2018.0,0.006,0.007,0.0,0.0,0.0
175,2018.0,0.009,0.06,0.0,0.002,0.0
176,2018.0,0.009,0.025,0.01,0.0,0.01
177,2018.0,0.008,0.006,0.0,0.0,0.0
178,2018.0,0.0,0.043,0.0,0.0,0.0
179,2018.0,0.005,0.014,0.0,0.0,0.0
180,2018.0,0.01,0.018,0.0,0.0,0.0
181,2018.0,0.026,0.044,0.0,0.0,0.0
182,2018.0,0.0,0.0,0.0,0.0,0.0
183,2018.0,0.006,0.048,0.007,0.0,0.007
184,2018.0,0.005,0.042,0.0,0.0,0.0
185,2018.0,0.013,0.216,0.0,0.004,0.0
186,2018.0,0.037,0.012,0.007,0.0,0.007
187,2018.0,0.005,0.01,0.0,0.0,0.0
188,2018.0,0.014,0.006,0.0,0.0,0.0
189,2018.0,0.016,0.0,0.006,0.0,0.006
190,2018.0,0.012,0.014,0.0,0.0,0.0
191,2018.0,0.0,0.01,0.008,0.0,0.008
192,2018.0,0.009,0.016,0.0,0.0,0.0
193,2018.0,0.0,0.006,0.008,0.0,0.008
194,2018.0,0.0,0.021,0.0,0.0,0.0
195,2018.0,0.03,0.0,0.0,0.0,0.0
196,2018.0,0.0,0.013,0.0,0.0,0.0
197,2018.0,0.0,0.011,0.0,0.0,0.0
198,2018.0,0.0,0.005,0.0,0.0,0.0
199,2018.0,0.027,0.005,0.021,0.0,0.021
200,2018.0,0.005,0.007,0.0,0.0,0.0
201,2018.0,0.006,0.086,0.0,0.0,0.0
202,2018.0,0.008,0.011,0.006,0.0,0.006
203,2018.0,0.015,0.018,0.0,0.0,0.0
204,2018.0,0.0,0.022,0.0,0.0,0.0
205,2018.0,0.007,0.029,0.0,0.0,0.0
206,2018.0,0.013,0.021,0.014,0.0,0.014
207,2018.0,0.007,0.023,0.018,0.0,0.018
208,2018.0,0.0,0.015,0.0,0.0,0.0
209,2018.0,0.0,0.03,0.0,0.0,0.0
210,2018.0,0.035,0.03,0.005,0.0,0.005
211,2018.0,0.005,0.015,0.0,0.0,0.0
212,2018.0,0.005,0.0,0.015,0.0,0.015
213,2018.0,0.016,0.012,0.0,0.0,0.0
214,2018.0,0.011,0.009,0.0,0.0,0.0
215,2018.0,0.013,0.01,0.0,0.0,0.0
216,2018.0,0.01,0.006,0.0,0.0,0.0
217,2018.0,0.0,0.016,0.0,0.0,0.0
218,2018.0,0.06,0.007,0.031,0.008,0.031
219,2018.0,0.006,0.025,0.012,0.002,0.012
220,2018.0,0.0,0.009,0.043,0.002,0.043
221,2018.0,0.018,0.0,0.111,0.0,0.111
222,2018.0,0.018,0.0,0.0,0.0,0.0
223,2018.0,0.007,0.0,0.009,0.0,0.009
224,2018.0,0.01,0.013,0.006,0.0,0.006
225,2018.0,0.006,0.023,0.0,0.002,0.0
226,2018.0,0.032,0.039,0.117,0.003,0.117
227,2018.0,0.037,0.134,0.011,0.003,0.011
228,2018.0,0.012,0.0,0.015,0.0,0.015
229,2018.0,0.009,0.0,0.0,0.0,0.0
230,2018.0,0.045,0.072,0.0,0.002,0.0
231,2018.0,0.022,0.038,0.033,0.0,0.033
232,2018.0,0.014,0.016,0.021,0.0,0.021
233,2018.0,0.04,0.0,0.024,0.0,0.024
234,2018.0,0.02,0.0,0.0,0.0,0.0
235,2018.0,0.007,0.0,0.0,0.0,0.0
236,2018.0,0.006,0.023,0.0,0.0,0.0
237,2018.0,0.01,0.022,0.0,0.0,0.0
238,2018.0,0.017,0.0,0.0,0.0,0.0
239,2018.0,0.007,0.012,0.0,0.0,0.0
240,2018.0,0.007,0.012,0.0,0.0,0.0
241,2018.0,0.005,0.127,0.006,0.003,0.006
242,2018.0,0.06,0.011,0.011,0.0,0.011
243,2018.0,0.0,0.008,0.0,0.0,0.0
244,2018.0,0.005,0.0,0.0,0.0,0.0
245,2018.0,0.009,0.0,0.0,0.0,0.0
246,2018.0,0.043,0.019,0.0,0.0,0.0
247,2018.0,0.265,0.0,0.007,0.0,0.007
248,2018.0,0.039,0.0,0.0,0.0,0.0
249,2018.0,0.006,0.0,0.0,0.0,0.0
250,2018.0,0.0,0.0,0.0,0.0,0.0
251,2018.0,0.007,0.03,0.0,0.0,0.0
252,2018.0,0.0,0.0,0.005,0.0,0.005
253,2018.0,0.008,0.019,0.008,0.0,0.008
254,2018.0,0.006,0.01,0.0,0.0,0.0
255,2018.0,0.008,0.013,0.0,0.0,0.0
256,2018.0,0.02,0.025,0.077,0.0,0.077
257,2018.0,0.0,0.027,0.006,0.0,0.006
258,2018.0,0.015,0.022,0.0,0.0,0.0
259,2018.0,0.006,0.028,0.0,0.0,0.0
260,2018.0,0.008,0.026,0.0,0.0,0.0
261,2018.0,0.0,0.011,0.0,0.0,0.0
262,2018.0,0.0,0.006,0.0,0.0,0.0
263,2018.0,0.019,0.0,0.01,0.0,0.01
264,2018.0,0.012,0.06,0.042,0.002,0.042
265,2018.0,0.012,0.056,0.0,0.002,0.0
266,2018.0,0.026,0.039,0.005,0.0,0.005
267,2018.0,0.006,0.009,0.0,0.0,0.0
268,2018.0,0.019,0.036,0.0,0.0,0.0
269,2018.0,0.044,0.066,0.052,0.002,0.052
270,2018.0,0.017,0.006,0.0,0.0,0.0
271,2018.0,0.014,0.034,0.006,0.0,0.006
272,2018.0,0.005,0.015,0.0,0.0,0.0
273,2018.0,0.0,0.007,0.0,0.0,0.0
274,2018.0,0.016,0.041,0.016,0.0,0.016
275,2018.0,0.0,0.065,0.0,0.0,0.0
276,2018.0,0.006,0.0,0.0,0.0,0.0
277,2018.0,0.011,0.0,0.006,0.0,0.006
278,2018.0,1.07,0.006,0.033,0.0,0.033
279,2018.0,0.0,0.006,0.046,0.0,0.046
280,2018.0,0.011,0.175,0.021,0.006,0.021
281,2018.0,0.006,0.022,0.0,0.0,0.0
282,2018.0,0.01,0.025,0.0,0.0,0.0
283,2018.0,0.0,0.031,0.0,0.0,0.0
284,2018.0,0.0,0.008,0.0,0.0,0.0
285,2018.0,0.0,0.0,0.015,0.0,0.015
286,2018.0,0.042,0.028,0.021,0.0,0.021
287,2018.0,0.082,0.041,0.011,0.0,0.011
288,2018.0,0.0,0.034,0.149,0.0,0.149
289,2018.0,0.048,0.0,0.0,0.0,0.0
290,2018.0,0.006,0.018,0.0,0.0,0.0
291,2018.0,0.006,0.0,0.0,0.0,0.0
292,2018.0,0.006,0.0,0.009,0.0,0.009
293,2018.0,0.005,0.007,0.011,0.0,0.011
294,2018.0,0.005,0.014,0.0,0.0,0.0
295,2018.0,0.0,0.006,0.0,0.0,0.0
296,2018.0,0.006,0.018,0.007,0.0,0.007
297,2018.0,0.007,0.031,0.0,0.0,0.0
298,2018.0,0.0,0.012,0.0,0.0,0.0
299,2018.0,0.007,0.015,0.006,0.0,0.006
300,2018.0,0.005,0.0,0.0,0.0,0.0
301,2018.0,0.01,0.016,0.008,0.0,0.008
302,2018.0,0.0,0.0,0.0,0.002,0.0
303,2018.0,0.023,0.0,0.0,0.0,0.0
304,2018.0,0.007,0.023,0.005,0.0,0.005
305,2018.0,0.0,0.0,0.016,0.0,0.016
306,2018.0,0.0,0.0,0.0,0.0,0.0
307,2018.0,0.023,0.0,0.008,0.0,0.008
308,2018.0,0.0,0.01,0.0,0.0,0.0
309,2018.0,0.006,0.013,0.0,0.0,0.0
310,2018.0,0.0,0.0,0.006,0.0,0.006
311,2018.0,0.0,0.025,0.0,0.0,0.0
312,2018.0,0.019,0.021,0.0,0.0,0.0
313,2018.0,0.0,0.011,0.006,0.0,0.006
314,2018.0,0.01,0.028,0.0,0.0,0.0
315,2018.0,0.0,0.032,0.0,0.0,0.0
316,2018.0,0.0,0.005,0.0,0.0,0.0
317,2018.0,0.017,0.031,0.005,0.0,0.005
318,2018.0,0.067,0.008,0.408,0.0,0.408
319,2018.0,0.007,0.014,0.0,0.0,0.0
320,2018.0,0.1,0.007,0.007,0.0,0.007
321,2018.0,0.0,0.032,0.0,0.0,0.0
322,2018.0,0.014,0.092,0.07,0.009,0.07
323,2018.0,0.017,0.089,0.0,0.003,0.0
324,2018.0,0.0,0.0,0.0,0.0,0.0
325,2018.0,0.031,0.035,0.0,0.0,0.0
326,2018.0,0.008,0.0,0.0,0.0,0.0
327,2018.0,0.03,0.021,0.008,0.0,0.008
328,2018.0,0.0,0.02,0.009,0.0,0.009
329,2018.0,0.008,0.014,0.0,0.0,0.0
330,2018.0,0.0,0.048,0.016,0.0,0.016
331,2018.0,0.006,0.224,0.0,0.005,0.0
332,2018.0,0.0,0.059,0.0,0.0,0.0
333,2018.0,0.0,0.01,0.0,0.0,0.0
334,2018.0,0.02,0.074,0.026,0.0,0.026
335,2018.0,0.0,0.0,0.0,0.0,0.0
336,2018.0,0.0,0.013,0.0,0.0,0.0
337,2018.0,0.0,0.022,0.0,0.0,0.0
338,2018.0,0.021,0.023,0.008,0.0,0.008
339,2018.0,0.022,0.048,0.0,0.0,0.0
340,2018.0,0.0,0.0,0.0,0.0,0.0
341,2018.0,0.009,0.0,0.023,0.0,0.023
342,2018.0,0.0,0.104,0.033,0.003,0.033
343,2018.0,0.0,0.008,0.0,0.0,0.0
344,2018.0,0.01,0.017,0.0,0.0,0.0
345,2018.0,0.022,0.01,0.0,0.0,0.0
346,2018.0,0.011,0.014,0.0,0.0,0.0
347,2018.0,0.0,0.008,0.0,0.0,0.0
348,2018.0,0.0,0.023,0.0,0.0,0.0
349,2018.0,0.007,0.016,0.0,0.0,0.0
350,2018.0,0.008,0.0,0.0,0.0,0.0
351,2018.0,0.009,0.008,0.012,0.0,0.012
352,2018.0,0.066,0.051,0.006,0.0,0.006
353,2018.0,0.009,0.021,0.0,0.0,0.0
354,2018.0,0.007,0.263,0.0,0.0,0.0
355,2018.0,0.019,0.139,0.013,0.0,0.013
356,2018.0,0.0,0.029,0.012,0.0,0.012
357,2018.0,0.006,0.05,0.0,0.0,0.0
358,2018.0,0.013,0.026,0.0,0.0,0.0
359,2018.0,0.008,0.033,0.032,0.0,0.032
360,2018.0,0.009,0.0,0.006,0.0,0.006
361,2018.0,0.007,0.0,0.0,0.0,0.0
362,2018.0,0.0,0.0,0.0,0.0,0.0
363,2018.0,0.019,0.058,0.0,0.0,0.0
364,2018.0,0.013,0.104,0.009,0.005,0.009
365,2018.0,0.01,0.383,0.0,0.0,0.0
366,2018.0,0.011,0.023,0.0,0.0,0.0
367,2018.0,0.007,0.006,0.0,0.0,0.0
368,2018.0,0.044,0.005,0.006,0.0,0.006
369,2018.0,0.011,0.115,0.0,0.002,0.0
370,2018.0,0.006,0.015,0.006,0.0,0.006
371,2018.0,0.016,0.054,0.005,0.0,0.005
372,2018.0,0.016,0.043,0.005,0.0,0.005
373,2018.0,0.0,0.0,0.0,0.0,0.0
374,2018.0,0.0,0.021,0.0,0.0,0.0
375,2018.0,0.034,0.032,0.0,0.0,0.0
376,2018.0,0.039,0.078,0.005,0.005,0.005
377,2018.0,0.0,0.006,0.0,0.0,0.0
378,2018.0,0.008,0.006,0.0,0.0,0.0
379,2018.0,0.077,0.029,0.009,0.0,0.009
380,2018.0,0.006,0.014,0.0,0.0,0.0
381,2018.0,0.007,0.0,0.016,0.0,0.016
382,2018.0,0.009,0.019,0.009,0.0,0.009
383,2018.0,0.027,0.012,0.02,0.0,0.02
384,2018.0,0.03,0.011,0.005,0.0,0.005
385,2018.0,0.015,0.0,0.0,0.0,0.0
386,2018.0,0.0,0.0,0.0,0.0,0.0
387,2018.0,0.012,0.0,0.0,0.0,0.0
388,2018.0,0.008,0.016,0.0,0.0,0.0
389,2018.0,0.0,0.015,0.0,0.0,0.0
390,2018.0,0.0,0.017,0.0,0.0,0.0
391,2018.0,0.018,0.01,0.0,0.0,0.0
392,2018.0,0.011,0.0,0.0,0.0,0.0
393,2018.0,0.015,0.185,0.007,0.004,0.007
394,2018.0,0.0,0.0,0.0,0.0,0.0
395,2018.0,0.0,0.022,0.019,0.0,0.019
396,2018.0,0.022,0.013,0.0,0.0,0.0
397,2018.0,0.007,0.0,0.053,0.0,0.053
398,2018.0,0.014,0.033,0.0,0.0,0.0
399,2018.0,0.0,0.0,0.0,0.0,0.0
400,2018.0,0.025,0.0,0.0,0.0,0.0
401,2018.0,0.0,0.006,0.012,0.0,0.012
402,2018.0,0.015,0.007,0.0,0.0,0.0
403,2018.0,0.0,0.007,0.005,0.0,0.005
404,2018.0,0.0,0.008,0.0,0.0,0.0
405,2018.0,0.03,0.016,0.013,0.0,0.013
406,2018.0,0.007,0.015,0.01,0.0,0.01
407,2018.0,0.015,0.022,0.0,0.0,0.0
408,2018.0,0.127,0.061,0.0,0.002,0.0
409,2018.0,0.019,0.029,0.014,0.0,0.014
410,2018.0,0.026,0.006,0.03,0.0,0.03
411,2018.0,0.025,0.023,0.054,0.0,0.054
412,2018.0,0.0,0.0,0.0,0.0,0.0
413,2018.0,0.074,0.0,0.051,0.0,0.051
414,2018.0,0.068,0.0,0.06,0.0,0.06
415,2018.0,0.007,0.034,0.02,0.0,0.02
416,2018.0,0.0,0.06,0.0,0.0,0.0
417,2018.0,0.006,0.04,0.0,0.0,0.0
418,2018.0,0.013,0.024,0.005,0.0,0.005
419,2018.0,0.0,0.023,0.0,0.0,0.0
420,2018.0,0.009,0.026,0.045,0.0,0.045
421,2018.0,0.043,0.03,0.0,0.0,0.0
422,2018.0,0.0,0.028,0.0,0.0,0.0
423,2018.0,0.007,0.006,0.0,0.0,0.0
424,2018.0,0.016,0.0,0.0,0.0,0.0
425,2018.0,0.021,0.026,0.048,0.0,0.048
426,2018.0,0.124,0.027,0.009,0.004,0.009
427,2018.0,0.006,0.012,0.022,0.0,0.022
428,2018.0,0.037,0.019,0.006,0.0,0.006
429,2018.0,0.0,0.0,0.0,0.0,0.0
430,2018.0,0.0,0.0,0.0,0.0,0.0
431,2018.0,0.006,0.2,0.025,0.003,0.025
432,2018.0,0.0,0.0,0.0,0.0,0.0
433,2018.0,0.03,0.418,0.014,0.003,0.014
435,2018.0,0.0,0.0,0.0,0.0,0.0
436,2018.0,0.009,0.014,0.0,0.0,0.0
437,2018.0,0.0,0.0,0.0,0.0,0.0
438,2018.0,0.0,0.016,0.0,0.0,0.0
439,2018.0,0.0,0.014,0.0,0.0,0.0
440,2018.0,0.008,0.0,0.0,0.0,0.0
441,2018.0,0.0,0.0,0.0,0.0,0.0
442,2018.0,0.022,0.017,0.046,0.0,0.046
443,2018.0,0.025,0.017,0.011,0.0,0.011
444,2018.0,0.007,0.007,0.0,0.0,0.0
445,2018.0,0.006,0.008,0.0,0.0,0.0
446,2018.0,0.0,0.005,0.0,0.0,0.0
447,2018.0,0.011,0.027,0.01,0.0,0.01
448,2018.0,0.009,0.027,0.011,0.0,0.011
449,2018.0,0.051,0.084,0.238,0.0,0.238
450,2018.0,0.026,0.0,0.0,0.0,0.0
451,2018.0,0.0,0.0,0.02,0.0,0.02
452,2018.0,0.011,0.026,0.0,0.0,0.0
453,2018.0,0.014,0.052,0.0,0.0,0.0
454,2018.0,0.113,0.01,0.018,0.0,0.018
455,2018.0,0.0,0.017,0.017,0.0,0.017
456,2018.0,0.0,0.0,0.0,0.0,0.0
457,2018.0,0.0,0.017,0.009,0.0,0.009
458,2018.0,0.051,0.054,0.021,0.0,0.021
459,2018.0,0.0,0.0,0.007,0.0,0.007
460,2018.0,0.0,0.0,0.006,0.0,0.006
461,2018.0,0.0,0.0,0.014,0.0,0.014
462,2018.0,0.0,0.0,0.0,0.0,0.0
463,2018.0,0.03,0.015,0.025,0.0,0.025
464,2018.0,0.0,0.008,0.007,0.0,0.007
465,2018.0,0.015,0.06,0.0,0.0,0.0
466,2018.0,0.0,0.0,0.012,0.0,0.012
1596,2019.0,0.014,0.01,0.008,0.002,0.008
1597,2019.0,0.005,0.005,0.005,0.002,0.005
1598,2019.0,0.009,0.014,0.005,0.002,0.005
1599,2019.0,0.005,0.005,0.005,0.002,0.005
1600,2019.0,0.005,0.016,0.005,0.002,0.005
1601,2019.0,0.005,0.014,0.005,0.002,0.005
1602,2019.0,0.008,0.005,0.005,0.002,0.005
1603,2019.0,0.005,0.005,0.005,0.002,0.005
1604,2019.0,0.022,0.017,0.046,0.002,0.046
1605,2019.0,0.025,0.017,0.011,0.002,0.011
1606,2019.0,0.007,0.007,0.005,0.002,0.005
1607,2019.0,0.006,0.008,0.005,0.002,0.005
1608,2019.0,0.005,0.005,0.005,0.002,0.005
